,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
205,mandok,48.32,22.19,280.93,94,100,3.06,HU,1602905758
206,nemetker,46.72,18.76,279.82,88,100,3.58,HU,1602905758
207,pilisborosjeno,47.61,18.99,280.93,93,100,2.44,HU,1602905758
208,solymar,47.59,18.93,280.93,93,100,2.79,HU,1602905759
209,tapioszolos,47.3,19.85,280.93,100,75,3.1,HU,1602905759
210,urkut,47.09,17.64,280.15,93,90,5.1,HU,1602905759
211,batu,-7.87,112.53,300.2,56,100,0.61,ID,1602905759
212,ende,-8.84,121.66,305.48,48,55,1.79,ID,1602905759
213,kraksaan,-7.76,113.4,304.57,53,93,1.2,ID,1602905759
214,padang,-0.95,100.35,303.27,57,99,2.32,ID,1602905760
215,sewon,-7.88,110.36,301.48,64,90,4.28,ID,1602905760
216,ungaran,-7.14,110.41,303.15,66,40,1.01,ID,1602905760
217,donabate,53.49,-6.15,283.71,81,75,3.6,IE,1602905760
218,rathkeale,52.52,-8.94,280.37,87,40,3.6,IE,1602905761
219,ajmer,26.45,74.63,302.16,21,9,5.95,IN,1602905761
220,amravati,20.93,77.75,300.07,83,72,2.87,IN,1602905761
221,atrauli,28.03,78.28,302.67,22,0,0.89,IN,1602905762
222,balangir,20.72,83.48,301.41,75,6,1.53,IN,1602905762
223,barhi,23.9,80.8,301.77,71,0,2.37,IN,1602905762
224,betul,21.92,77.9,299.24,81,35,3.52,IN,1602905762
225,bighapur,26.35,80.68,300.15,74,0,1.96,IN,1602905763
226,carapur,15.55,73.97,299.15,88,20,3.1,IN,1602905763
227,chhoti sadri,24.38,74.7,302.91,54,61,4.86,IN,1602905763
228,daman,20.42,72.85,301.98,71,15,2.68,IN,1602905763
229,dharmanagar,24.37,92.17,305.68,62,4,1.31,IN,1602905763
230,elayirampannai,9.27,77.83,304.15,62,20,4.1,IN,1602905764
231,gudur,14.13,79.85,300.15,78,75,2.88,IN,1602905764
232,hastinapur,29.17,78.02,301.33,29,0,1.06,IN,1602905764
233,itarsi,22.62,77.75,300.54,76,79,1.87,IN,1602905764
234,jaynagar,26.58,86.15,303.45,61,0,1.95,IN,1602905765
235,kalanaur,28.83,76.4,302.74,16,0,0.86,IN,1602905765
236,karari,25.45,81.43,304.56,55,0,1.96,IN,1602905765
237,khamaria,23.22,79.88,301.16,73,21,1.95,IN,1602905765
238,kodala,19.63,84.95,302.97,74,0,1.19,IN,1602905765
239,kuju,23.72,85.5,299.15,83,0,0.54,IN,1602905766
240,londa,15.47,74.52,296.15,94,40,3.1,IN,1602905766
241,makhu,31.1,75,302.34,18,0,1.11,IN,1602905766
242,manoharpur,27.3,75.95,301.15,28,40,2.1,IN,1602905766
243,morar,26.23,78.23,303.78,32,0,3.22,IN,1602905766
244,nagercoil,8.17,77.43,302.15,74,40,1,IN,1602905767
245,nathdwara,24.93,73.82,299.15,78,75,1.5,IN,1602905767
246,oran,35.69,-0.64,284.15,81,20,2.1,DZ,1602905767
247,pardi,20.52,72.95,302.15,79,40,1.78,IN,1602905767
248,phaphund,26.6,79.47,304.02,26,0,2.51,IN,1602905767
249,qadian,31.82,75.39,296.15,64,0,0.2,IN,1602905530
250,ramkola,26.9,83.84,303.6,56,0,0.75,IN,1602905768
251,rohtak,28.9,76.57,296.15,53,0,1.5,IN,1602905500
252,sankrail,22.55,88.2,303.15,89,40,2.4,IN,1602905768
253,shahpur,16.7,76.83,298.34,72,62,2.96,IN,1602905769
254,sinnar,13.57,33.57,300.33,46,0,3.51,SD,1602905769
255,sujangarh,27.7,74.46,304.59,14,0,3.38,IN,1602905769
256,terdal,16.5,75.05,297.45,79,85,3.31,IN,1602905769
257,tura,25.52,90.22,303.48,66,25,0.89,IN,1602905769
258,varanasi,25.33,83,303.15,70,0,1,IN,1602905770
259,yavatmal,20.4,78.13,299.52,82,85,1.9,IN,1602905770
260,damavand,35.72,52.06,287.15,24,0,0.23,IR,1602905770
261,naqadeh,36.96,45.39,285.87,40,0,0.96,IR,1602905770
262,dalvik,65.97,-18.53,276.15,93,90,3.6,IS,1602905770
263,argenta,44.61,11.84,281.48,93,69,1.05,IT,1602905771
264,boscotrecase,40.77,14.46,284.15,87,40,1,IT,1602905771
265,carpi,44.78,10.88,281.48,93,70,3.6,IT,1602905771
266,certaldo,43.55,11.04,283.15,100,48,0.5,IT,1602905771
267,crotone,39.09,17.12,289.27,58,0,2.35,IT,1602905772
268,galatina,40.17,18.17,284.15,100,5,2.89,IT,1602905772
269,laterza,40.63,16.8,287.04,76,0,2.1,IT,1602905772
270,massa marittima,43.05,10.89,284.82,68,1,1.22,IT,1602905772
271,montescaglioso,40.55,16.67,287.04,76,0,2.1,IT,1602905772
272,padova,45.42,11.88,282.04,91,71,0.98,IT,1602905676
273,portoferraio,42.81,10.31,284.82,83,26,1.56,IT,1602905773
274,ruffano,39.98,18.25,284.15,100,5,2.36,IT,1602905773
275,sarezzo,45.66,10.2,281.48,95,85,1.86,IT,1602905773
